,City,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
400,port moresby,pg,-9.47,147.16,82.166,9.96,97.0,36.0
401,faanui,pf,-16.48,-151.75,82.976,5.56,98.0,56.0
402,ruteng,id,-8.61,120.46,70.196,1.31,93.0,20.0
403,tuktoyaktuk,ca,69.44,-133.03,25.772,7.7,85.0,75.0
404,valdivia,cl,-39.81,-73.25,50.0,1.41,100.0,90.0
406,belmonte,br,40.36,-7.35,55.976,5.56,62.0,0.0
407,puerto madryn,ar,-42.77,-65.04,51.296,5.16,96.0,0.0
408,kalabo,zm,-15.0,22.67,87.476,2.16,25.0,44.0
410,acapulco,mx,16.86,-99.88,82.4,1.5,65.0,40.0
411,matagami,ca,9.67,8.4,82.256,1.86,81.0,20.0
413,shishou,cn,29.72,112.42,67.85600000000001,2.96,95.0,24.0
414,rio gallegos,ar,-51.62,-69.22,41.0,3.11,93.0,40.0
415,huambo,ao,-12.78,15.73,78.8,2.1,47.0,40.0
416,verkhnetulomskiy,ru,68.61,31.8,44.6,2.0,87.0,75.0
417,new norfolk,au,-42.78,147.06,50.0,4.1,81.0,40.0
418,talaya,ru,55.79,84.89,48.326,5.56,58.0,88.0
419,svetlaya,ru,46.54,138.33,40.856,0.21,95.0,24.0
420,dubbo,au,-32.25,148.6,50.0,3.6,66.0,0.0
421,batagay,ru,67.65,134.64,19.238,2.11,75.0,24.0
422,lompoc,us,34.64,-120.46,51.836,1.5,87.0,90.0
423,rivadavia,ar,-31.53,-68.59,61.826,1.16,61.0,8.0
424,razdolinsk,ru,58.42,94.62,37.706,1.76,87.0,20.0
425,lata,sb,30.78,78.62,53.906,0.96,95.0,64.0
426,katsuura,jp,33.93,134.5,59.126,2.41,84.0,44.0
427,salinopolis,br,-0.61,-47.36,79.196,5.01,100.0,80.0
428,manama,bh,25.33,56.02,101.426,3.1,13.0,0.0
429,banjar,id,-7.37,108.54,76.676,1.81,78.0,68.0
430,potrero del llano,mx,21.08,-97.73,79.46600000000001,1.21,78.0,76.0
431,sao filipe,cv,14.9,-24.5,72.35600000000001,5.06,91.0,0.0
432,naze,jp,5.43,7.07,86.0,2.1,70.0,75.0
433,behbahan,ir,30.59,50.24,93.05600000000001,3.1,16.0,75.0
434,batagay-alyta,ru,67.8,130.41,15.187999999999999,1.71,89.0,36.0
435,yellowknife,ca,62.45,-114.38,35.6,2.6,69.0,20.0
436,hailar,cn,49.2,119.7,35.366,1.86,62.0,0.0
438,palu,id,-0.9,119.87,67.586,0.71,97.0,80.0
439,juruti,br,-2.16,-56.09,76.226,1.91,93.0,80.0
